courseID,studentID,ndays_act,nday_inAct,nevents,nplayvideo
CRS5c21e7b6ecb710.15500033,STD_5c96aef14f7496.33836012,2,-1,7,1
CRS5c4eb123cbbbe9.91086078,STD_0000001,2,68,4,4
CRS5c4eb123cbbbe9.91086078,STD_5c96aef14f7496.33836012,2,13,28,3
CRS5c4eb123cbbbe9.91086078,STD_5ca9d78252c711.63825561,2,-1,17,4
CRS5c4eb123cbbbe9.91086078,STD_5caa8489d38f92.41826219,2,0,33,6
CRS5c4eb123cbbbe9.91086078,STD_5caa88fd8b1b95.52450101,1,-1,17,2
CRS5c4eb123cbbbe9.91086078,STD_5cad3e88839c44.04067260,1,-1,13,3
CRS5c4eb123cbbbe9.91086078,STD_5cad3f338fbbb5.21970188,1,-1,5,1
CRS5c4eb123cbbbe9.91086078,STD_5cad3fd550bf84.96345135,1,-1,1,3
CRS5c4eb123cbbbe9.91086078,STD_5cad43c5dc8b93.08437113,1,-1,23,7
CRS5c4eb123cbbbe9.91086078,STD_5cad4695d00c66.27037325,1,-1,27,7
